lat,lon,neutron_count
-89,52,149.92255
-89,53,151.57063
-89,54,151.87773
-89,55,151.83914
-89,56,147.58224
-89,57,149.25282
-89,58,152.87866
-89,59,149.49506
-89,60,152.05272
-89,61,154.00832
-89,62,148.68411
-89,63,151.33836
-89,64,148.40791
-89,65,150.28662
-89,66,151.23633
-89,67,151.12428
-89,68,154.89203
-89,69,149.7128
-89,70,150.1467
-89,71,150.75162
-89,72,155.44183
-89,73,152.24733
-89,74,153.18936
-89,75,153.40027
-89,76,149.40053
-89,77,152.68918
-89,78,150.7653
-89,79,150.24498
-89,80,155.52673
-89,81,151.77444
-89,82,155.79367
-89,83,148.45476
-89,84,153.24986
-89,85,151.29575
-89,86,149.5942
-89,87,150.0606
-89,88,151.81395
-89,89,146.42194
-89,90,153.04413
-89,91,152.84325
-89,92,148.28146
-89,93,153.82977
-89,94,153.47017
-89,95,148.53815
-89,96,154.00626
-89,97,147.84111
-89,98,150.27023
-89,99,150.05954
-89,100,150.49005
-89,101,148.76537
-89,102,149.99237
-89,103,150.46417
-89,104,151.04689
-89,105,150.39404
-89,106,153.20033
-89,107,148.95927
-89,108,150.45103
-89,109,149.5811
-89,110,149.61246
-89,111,152.07043
-89,112,149.28044
-89,113,149.98535
-89,114,151.77446
-89,115,151.83353
-89,116,150.68996
-89,117,151.03287
-89,118,152.09203
-89,119,152.00633
-89,120,151.33397
-89,121,149.95175
-89,122,149.0263
-89,123,147.51108
-89,124,147.4086
-89,125,149.01729
-89,126,149.1253
-89,127,149.81769
-89,128,149.68936
-89,129,147.22215
-89,130,149.84592
-89,131,150.3413
-89,132,148.67331
-89,133,149.98688
-89,134,150.17255
-89,135,146.236
-89,136,153.31723
-89,137,145.53406
-89,138,151.53386
-89,139,149.5765
-89,140,151.7504
-89,141,154.39249
-89,142,152.94485
-89,143,147.35266
-89,144,153.77057
-89,145,152.61066
-89,146,153.72426
-89,147,149.9528
-89,148,150.67387
-89,149,157.48831
-89,150,144.42186
-89,151,149.51398
-89,152,148.79639
-89,153,141.00648
-89,154,149.23697
-89,155,152.8395
-89,156,148.4774
-89,157,150.84004
-89,158,155.80292
-89,159,150.18741
-89,160,149.7271
-89,161,151.72418
-89,162,153.46078
-89,163,148.54216
-89,164,155.71732
-89,165,149.86073
-89,166,156.06953
-89,167,155.81258
-89,168,153.51479
-89,169,152.10208
-89,170,162.17204
-89,171,149.47177
-89,172,153.82011
-89,173,145.59181
-89,174,153.4601
-89,175,153.4615
-89,176,149.03796
-89,177,152.31746
-89,178,156.9323
-89,179,149.49791
-89,180,154.61348
-88,-180,154.55638
-88,-179,148.10439
-88,-178,148.28535
-88,-177,150.09187
-88,-176,151.75494
-88,-175,153.32545
-88,-174,153.63383
-88,-173,155.33022
-88,-172,152.14256
-88,-171,151.1387
-88,-170,153.55003
-88,-169,152.31137
-88,-168,152.10466
-88,-167,154.37703
-88,-166,154.232
-88,-165,151.37614
-88,-164,152.72586
-88,-163,150.5151
-88,-162,153.09763
-88,-161,152.7751
-88,-160,152.31323
-88,-159,151.7547
-88,-158,146.78401
-88,-157,152.70361
-88,-156,153.45432
-88,-155,148.78163
-88,-154,153.36246
-88,-153,150.68134
-88,-152,152.24171
-88,-151,156.72986
-88,-150,153.19653
-88,-149,149.25009
-88,-148,155.2359
-88,-147,148.5557
-88,-146,154.29231
-88,-145,157.50299
-88,-144,151.76566
-88,-143,147.41383
-88,-142,150.09578
-88,-141,151.70477
-88,-140,154.55347
-88,-139,151.0228
-88,-138,148.0751
-88,-137,153.26994
-88,-136,153.44977
-88,-135,153.41324
-88,-134,151.6979
-88,-133,152.12773
-88,-132,151.69585
-88,-131,152.30663
-88,-130,151.63667
-88,-129,153.16844
-88,-128,152.22531
-88,-127,151.01028
-88,-126,154.00844
-88,-125,152.2252
-88,-124,152.3362
-88,-123,151.11504
-88,-122,152.96727
-88,-121,153.93636
-88,-120,154.34326
-88,-119,151.27855
-88,-118,155.61162
-88,-117,150.53789
-88,-116,149.18039
-88,-115,150.95155
-88,-114,149.02106
-88,-113,153.22734
-88,-112,148.14056
-88,-111,155.11232
-88,-110,148.07608
-88,-109,155.46922
-88,-108,155.28778
-88,-107,149.30916
-88,-106,154.36069
-88,-105,153.50157
-88,-104,153.46895
-88,-103,156.36906
-88,-102,151.6038
-88,-101,154.68979
-88,-100,149.28651
-88,-99,150.68417
-88,-98,149.45299
-88,-97,148.97585
-88,-96,152.36871
-88,-95,151.94176
-88,-94,147.12552
-88,-93,150.7572
-88,-92,152.99712
-88,-91,149.57181
-88,-90,151.05682
-88,-89,151.36113
-88,-88,154.944
-88,-87,150.53795
-88,-86,154.51234
-88,-85,153.92421
-88,-84,151.10538
-88,-83,154.08571
-88,-82,148.09209
-88,-81,149.73615
-88,-80,151.3232
-88,-79,153.53902
-88,-78,149.22073
-88,-77,157.97255
-88,-76,154.60832
-88,-75,151.47379
-88,-74,154.2968
-88,-73,153.61185
-88,-72,148.42169
-88,-71,153.06194
-88,-70,153.0734
-88,-69,158.94547
-88,-68,153.1095
-88,-67,151.1434
-88,-66,146.50496
-88,-65,152.38068
-88,-64,152.26118
-88,-63,150.9787
-88,-62,150.45149
-88,-61,148.09744
-88,-60,148.9025
-88,-59,150.29503
-88,-58,148.90009
-88,-57,152.48186
-88,-56,146.65327
-88,-55,152.84796
-88,-54,153.16605
-88,-53,151.30827
-88,-52,146.866
-88,-51,153.95265
-88,-50,153.44768
-88,-49,155.48683
-88,-48,151.64928
-88,-47,155.66605
-88,-46,150.6192
-88,-45,151.13515
-88,-44,153.4487
-88,-43,154.4974
-88,-42,149.67563
-88,-41,155.13905
-88,-40,152.59804
-88,-39,148.90602
-88,-38,147.87387
