lat,lon,day_max,night_min
-89,126,240.3783,54.0195
-89,127,237.7588,52.3259
-89,128,238.8508,51.6974
-89,129,241.3024,50.2728
-89,130,237.7746,50.514
-89,131,243.4239,52.5522
-89,132,237.5479,51.7395
-89,133,226.295,50.7309
-89,134,219.9567,49.7453
-89,135,224.6995,49.9832
-89,136,217.6293,49.4936
-89,137,225.8461,51.34
-89,138,234.4274,52.7223
-89,139,235.9183,52.8627
-89,140,235.2662,53.0258
-89,141,234.582,52.9556
-89,142,237.9738,53.8582
-89,143,232.6573,52.3026
-89,144,223.4618,50.9234
-89,145,228.4928,48.4011
-89,146,226.0034,44.4774
-89,147,228.0531,41.5868
-89,148,219.4484,40.1899
-89,149,216.5298,40.3967
-89,150,213.8334,40.8144
-89,151,215.3491,39.5928
-89,152,211.532,38.0003
-89,153,213.6315,37.521
-89,154,212.0741,37.2973
-89,155,212.0314,39.946
-89,156,210.6238,40.0879
-89,157,210.1476,41.1877
-89,158,212.4399,40.6416
-89,159,211.56,38.2794
-89,160,217.6472,38.7711
-89,161,225.8029,38.4781
-89,162,224.3409,38.2303
-89,163,230.4178,38.2414
-89,164,231.6888,39.6307
-89,165,233.2516,39.8879
-89,166,237.4323,39.294
-89,167,246.6248,38.4837
-89,168,250.0456,39.038
-89,169,252.2959,38.9477
-89,170,253.0484,38.8053
-89,171,247.7461,39.2226
-89,172,254.1121,37.7711
-89,173,249.6201,39.5834
-89,174,251.3694,39.3154
-89,175,255.3391,39.5034
-89,176,244.437,40.277
-89,177,232.8052,41.3379
-89,178,232.3262,40.6388
-89,179,234.7941,38.5846
-89,180,229.5468,39.3597
-88,-180,232.4565,41.231
-88,-179,226.4414,39.2447
-88,-178,225.1845,39.8131
-88,-177,226.2511,39.1
-88,-176,220.2475,40.3423
-88,-175,223.0091,40.4786
-88,-174,222.9232,43.681
-88,-173,233.7128,45.0615
-88,-172,242.4122,50.787
-88,-171,241.7392,50.9778
-88,-170,248.8004,60.7397
-88,-169,261.1801,63.9408
-88,-168,271.2699,60.4932
-88,-167,274.0081,57.6258
-88,-166,271.5219,54.9001
-88,-165,273.9114,47.9504
-88,-164,264.8468,47.9493
-88,-163,262.6451,47.4456
-88,-162,255.2992,43.8486
-88,-161,257.1332,42.5527
-88,-160,232.7541,41.1855
-88,-159,229.8808,40.9745
-88,-158,228.6409,41.0441
-88,-157,230.5888,41.162
-88,-156,229.4338,41.1048
-88,-155,223.3077,40.6901
-88,-154,206.7102,40.7172
-88,-153,205.447,40.834
-88,-152,201.5189,39.8818
-88,-151,201.7798,39.9516
-88,-150,196.4811,40.329
-88,-149,193.2315,38.8832
-88,-148,200.3011,38.7826
-88,-147,215.5189,39.388
-88,-146,219.4899,38.6045
-88,-145,219.3483,38.6128
-88,-144,212.5151,38.0014
-88,-143,205.7095,38.0583
-88,-142,199.2725,37.8625
-88,-141,201.0424,37.8789
-88,-140,204.6555,37.7569
-88,-139,203.2439,37.4571
-88,-138,206.7293,38.081
-88,-137,208.0802,39.0113
-88,-136,220.903,38.4197
-88,-135,233.8428,37.992
-88,-134,243.3986,38.2652
-88,-133,254.4509,38.4479
